,short_name
SRR25627038,S1
SRR25627039,S2
SRR25627040,S3
SRR25627041,S4
SRR25627042,S5
SRR25627043,S6
SRR25627044,S7
SRR25627045,S8
SRR25627046,S9
SRR26858448,S10
SRR26858450,S11
SRR26858740,S12
SRR26858741,S13
SRR26858742,S14
SRR26858743,S15
SRR26858744,S16
SRR26858745,S17
SRR26858746,S18
SRR27886144,S19
SRR27886146,S20
SRR27886148,S21
SRR27886152,S22
SRR27886154,S23
SRR27886157,S24
SRR27886158,S25
SRR27886160,S26
SRR27886161,S27
SRR27886167,S28
SRR27886169,S29
SRR27886170,S30
SRR27886172,S31
SRR27886173,S32
SRR27886174,S33
SRR27886175,S34
SRR27886176,S35
SRR27886178,S36
SRR27886181,S37
SRR27886183,S38
SRR27886187,S39
SRR27886189,S40
SRR27886205,S41
SRR27886206,S42
SRR27886208,S43
SRR32418925,S44
SRR32418926,S45
SRR32418927,S46
SRR32418928,S47
SRR32418929,S48
SRR32418932,S49
SRR32418933,S50
SRR32418934,S51
SRR32418935,S52
SRR32418936,S53
SRR32418937,S54
SRR32418938,S55
SRR32418939,S56
SRR32418940,S57
SRR32418941,S58
SRR32418942,S59
SRR32465927,S60
SRR32465928,S61
SRR32465929,S62
SRR32558798,S63
SRR32558799,S64
SRR32558800,S65
SRR32558801,S66
SRR32558802,S67
SRR32558803,S68
SRR32838694,S69
SRR32838695,S70
